Number,Freq. (ppm),sd Freq.(ppm),Sp. Width (Hz),sd Sp. Width (Hz),Amplitude,sd Ampl.,Phase (deg),sd Ph.(deg)
1,3.92,0.0,20.0,0.0,17.0,0.3865,0,0
2,3.41,0.001601,20.0,0.0,7.3,0.3066,180,0
3,3.25,0.001594,20.0,0.0,7.3,0.3066,180,0
4,3.02,0.002904,15.0,3.69,2.6,0.5094,0,0
5,2.67,0.002703,22.0,3.54,5.0,0.6631,0,0
6,2.35,0.0,20.0,0.0,4.5,0.3866,0,0
7,2.0,0.002758,18.0,3.5,3.6,0.5556,180,0
8,3.75,0.0,23.63,3.03,6.6,0.7224,0,0
9,3.52,0.0,20.0,0.0,2.25,0.3943,0,0
10,3.62,0.005246,20.0,0.0,2.25,0.389,0,0
11,4.03,0.013,20.0,0.0,0.9,0.383,0,0
12,2.52,0.002702,22.0,3.5,5.0,0.65,0,0
